,line,label
0,"Pediatric patients of 3 age groups (<3, 3-<12, and 12-<18 years) and adults (≥18 years) receiving latanoprost ophthalmic solution 0.005% once daily in 1 or both eyes for ≥2 weeks.",METHODS
1,"A multicenter randomized clinical trial of 114 infants with unilateral congenital cataract in referral centers who were between ages 1 and 6 months at surgery. Mean follow-up was 4.8 years. This secondary analysis was conducted from December 23, 2004, to November 13, 2013.",METHODS
2,"False-positive screenings, defined as a positive screening with a completed negative work-up or 12 months or more of follow-up with no lung cancer diagnosis.",METHODS
3,"In Study 1, 237 patients applied OPC-1085EL (n = 118) or latanoprost (n = 119) for 8 weeks. In Study 2, 193 patients applied OPC-1085EL (n = 78), carteolol (n = 78), or carteolol/latanoprost concomitant therapy (n = 37) for 8 weeks.",METHODS
4,"Study participants were initially randomized to 6 monthly intravitreal injections of aflibercept or bevacizumab. At month 6, protocol-defined good responders were rerandomized to continued monthly or treat-and-extend dosing of their originally assigned study drug, and protocol-defined poor or marginal responders were switched to alternative treatment. After month 12, participants were treated as per investigator discretion.",METHODS
5,"Ultrasound biomicroscopy images were qualitatively assessed using standardized criteria. Plateau iris was defined in a quadrant by the presence of an anteriorly directed ciliary body, an absent ciliary sulcus, a steep iris root from its point of insertion followed by a downward angulation from the corneoscleral wall, presence of a central flat iris plane, and irido-angle contact. At least 2 quadrants had to fulfil the above criteria for an eye to be defined as plateau iris.",METHODS
6,To report the vision-specific quality-of-life (QoL) outcomes in the Tube Versus Trabeculectomy (TVT) Study.,BACKGROUND&OBJECTIVE
7,"Plinabulin is a novel, non-granulocyte colony-stimulating factor (GCSF) small molecule with both anticancer and neutropenia-prevention effects.",BACKGROUND&OBJECTIVE
8,Patients took isotretinoin at a high dose (1.0 mg/kg per day) or a moderate dose (0.5 mg/kg per day) or placebo. Group 1 took the high dose for 1 year and then the moderate dose for 2 years. Group 2 took the moderate dose for 3 years. Group 3 took placebo for 3 years.,METHODS
9,Institutional-Wills Eye Hospital.,METHODS
10,The aim of the study was to assess the efficacy and safety of latanoprost in the long-term treatment of glaucoma.,BACKGROUND&OBJECTIVE
11,"A prospective 90 day, multi-centered, placebo-controlled, doublemasked parallel study.",METHODS
12,"In the Women's Health Study conducted between 1992 and 2004, 39 876 apparently healthy US women aged at least 45 years were randomly assigned to receive vitamin E or placebo and aspirin or placebo, using a 2 x 2 factorial design, and were followed up for an average of 10.1 years.",METHODS
13,"Confirmed newly diagnosed invasive cancer at any site, except for nonmelanoma skin cancer. Incidence of breast, colorectal, and lung cancer were secondary end points.",METHODS
14,"A single-masked, two-center, crossover comparison with two 6-week treatment periods occurring after at least a 3-week medicine-free period. Diurnal curve intraocular pressures were taken at 2:00 AM, 6:00 AM, 10:00 AM, 2:00 PM, 6:00 PM, and 10:00 PM.",METHODS
15,Patients were randomized to receive either brimonidine 0.2% or apraclonidine 1.0% before and after 360 degrees ALT. Both patient and physician were masked as to which agent each patient received.,METHODS
16,"beta radiation substantially reduced the risk of surgical failure after glaucoma surgery. Some evidence was, however, found of an increased risk for cataract surgery (a known complication of trabeculectomy) in the beta radiation arm during the two years after surgery.",CONCLUSIONS
17,"Forty SARS-CoV-2 RNA positive individuals were randomised to intervention (n=16) or control (n=24) group. Baseline serum 25(OH)D was 8.6 (7.1 to 13.1) and 9.54 (8.1 to 12.5) ng/ml (p=0.730), in the intervention and control group, respectively. 10 out of 16 patients could achieve 25(OH)D>50 ng/ml by day-7 and another two by day-14 [day-14 25(OH)D levels 51.7 (48.9 to 59.5) ng/ml and 15.2 (12.7 to 19.5) ng/ml (p<0.001) in intervention and control group, respectively]. 10 (62.5%) participants in the intervention group and 5 (20.8%) participants in the control arm (p<0.018) became SARS-CoV-2 RNA negative. Fibrinogen levels significantly decreased with cholecalciferol supplementation (intergroup difference 0.70 ng/ml; P=0.007) unlike other inflammatory biomarkers.",RESULTS
18,Nondiabetic pseudophakic patients with definite POAG were recruited; 29 eyes of 16 individuals participated in study 1. A follow-up study (study 2) included 14 eyes of 7 individuals.,METHODS
19,Two hundred twelve patients aged 18 to 85 years who had undergone previous trabeculectomy and/or cataract extraction with intraocular lens implantation and uncontrolled glaucoma with intraocular pressure > or =18 mm Hg and < or =40 mm Hg on maximum tolerated medical therapy.,METHODS
20,Brimonidine was added to the existing regimen of glaucoma medication.,METHODS
21,"After completing a wash-out of ocular hypotensive medications, patients were randomized to receive either latanoprost once daily in the evening plus placebo once daily in the morning, or unoprostone twice daily (morning and evening).",METHODS
22,"Mean IOP was similar between groups at all study visits (travoprost 0.003% range, 17.5-18.9 mm Hg; travoprost 0.004% range, 17.4-19.0 mm Hg). Mean change (least squares mean differences, -0.1 to 0.3 mm Hg; 95% confidence interval, -0.5 to 0.7 mm Hg) and percentage change (travoprost 0.003%, 28.4%-30.7%; travoprost 0.004%, 28.5%-31.0%) from baseline were comparable. The percentages of patients with IOP <18 mm Hg and ≥30% reduction of IOP were also similar. Hyperemia was the most frequent treatment-related adverse event with both formulations (travoprost 0.003%, 11.8%; travoprost 0.004%, 14.5%).",RESULTS
23,ClinicalTrials.gov Identifier: NCT02718326.,BACKGROUND&OBJECTIVE
